datetime,title,house_type,price,acreage,district,city,bedrooms,wc,house_direction,balcony_direction,description
2023-05-29 13:06:27,"Bán Biệt thự sân vườn Quận 12, 130m2, 3 Tầng 7PN, Giá 9.2 Tỷ Giá rất tốt chốt bất ngờ",Nhà riêng,9.2,130,Quận 12,TP Hồ Chí Minh,,,,,"+ Kết cấu: 7 PN, 6 WC, ban công, phòng thờ, Phòng Karaoke, có gara để xe hơi. Chủ tặng toàn bộ nội thất.

+ Vị trí: Thạnh Xuân 40 Ngay Hà Huy Giáp, Kế bên Gò Vấp.

+ Hẻm xe tải tránh, Khu an ninh, dân trí cao, khu toàn biệt thự, sân để 2 Ô tô 7 chỗ.

+ Trước mặt nhà đường chuẩn bị mở rộng (ĐƯỜNG THẠNH XUÂN 40) chủ nhà là dân xây dựng chuyên làm về cơ sở hạ tầng, đã đón đầu xu thế.

Liên hệ: Ms. Trúc chuyên nhà ngon Sài Gòn 09898.100.85(zalo)/ 0938.966.136"
2023-05-24 12:32:30,"Gấp bán Giảm 3 Tỷ Mặt tiền Hẻm xe hơi tránh 10m, Quận 6, 189m2,  Giá 24 Tỷ",Nhà riêng,24.0,189,Quận 6,TP Hồ Chí Minh,,,,,"+ DT 189m2, ngang 7.8m dài 24m. 

+ Sát vòng xoay 3/2 - Minh Phụng - Hồng Bàng. 

+ Khu vực xây toàn biệt thự, nhà cao tầng, dân trí cao, hẻm 10m thông rất đẹp. 

+ Vị trí cực đẹp để xây khách sạn, nhà hàng, Spa cao cấp, phòng khám, khu vực kinh doanh đỉnh. 

+ Pháp lý chuẩn, Nở hậu, công chứng mua bán ngay. 

Liên hệ: Ms. Trúc chuyên nhà ngon Sài Gòn 0938.966.136"
2023-06-01 14:52:33,"Nhà đẹp lung linh, hxh 6m, Thống Nhất P11 Gò Vấp, 4 tầng chỉ 8.8 tỷ",Nhà riêng,8.8,47,Gò Vấp,TP Hồ Chí Minh,4,6,,,"MS 13223
* Nhà thiết kế hiện đại, đẹp như resort thu nhỏ, với 4 phòng ngủ master, phòng khách, bếp, xe hơi ngủ trong nhà, thang máy, hồ bơi sân thượng, các phòng đều có ban công, giếng trời thoáng mát.
* Hẻm 6m thông, xe hơi ra vào thoải mái. 
* Vị trí: Thống Nhất, Phường 11 Gò Vấp. Khu vực an ninh, yên tĩnh, đường tráng nhựa sạch đẹp, 
* Diện tích 47m2, 4 tầng BTCT.
* Sổ hồng, hoàn công đủ."
2023-06-01 14:53:38,TRUNG TÂM QUẬN 3-KHU VIP-HẺM XE TẢI 6M CỰC ĐẸP-Ô TÔ  QUAY ĐẦU THOẢI MÁI-SỔ VUÔNG NỞ HẬU NHẸ,Nhà riêng,75.0,35,Quận 3,TP Hồ Chí Minh,2,,,,"Kết cấu: Nhà 1 trệt, 1 lầu. Gồm 2 PN, 1 WC, 1 phòng bếp và phòng khách. Xây lại mới thì rất tuyệt vời. Có giấy phép xây dựng lên 5 tấm.
Hẻm trước nhà 6m, xe hơi tránh nhau . Hẻm thông ô bàn cờ xe hơi quay đầu thoải mái, khu dân trí cao, hẻm an ninh sạch sẽ, khu VIP hiếm nhà bán.
Trung tâm của trung tâm, tiện ích không thiếu gì.
Sổ vuông nở hậu nhẹ, hoàn công đủ. Pháp lý chuẩn công chứng ngay."
2023-06-01 15:02:17,"Bán gấp nhà KDC Bách Khoa 1 trệt 2 lầu 88m2 hướng Đông Nam sổ hồng hoàn công, LH: 0388 668 882 ( zalo)",Nhà riêng,6.5,88,Quận 9,TP Hồ Chí Minh,3,2,,,"Bán nhà trong khu dự án Bách Khoa P. Phú Hữu, Quận 9.
Thiết kế: 1 trệt 1 lầu 1 tum.
DT: 88,6m² (5x17.7m) sàn 172m² ngang 5m.
Giá chỉ 6.5 tỷ.
Hướng Đông Nam.
Pháp lý: Sổ hoàn công đầy đủ.
Liên hệ: 0388 668 882 gặp Tâm (zalo)."
2023-06-01 15:11:53,"Bán nhà Giáp Nhị Hoàng Mai 30m2 x 5T chỉ 3,99 tỷ",Nhà riêng,3.99,30,Hoàng Mai,Hà Nội,3,4,,,"- Cần bán gấp căn nhà trong ngõ 141 đường Giáp Nhị quận Hoàng Mai Hà Nội
- diện tích 30m2 mặt tiền 4,4m
- Vị trí trung tâm, ba gác đỗ cửa, trước nhà rộng thoáng, sáng. Nhà lô góc, xây mới tinh,  sàn gỗ
- THIẾT KẾ : 
- Tổng 3 ngủ, đầy đủ công năng sử dụng cho 1 gia đìnhm
- Tầng 1 : phòng khách , bếp, wc
- Tầng 2 -3-4 : mỗi tầng 1 phòng , 1 wc 
- Tầng 5 : phòng thờ , sân phơi
- Sổ đỏ chính chủ, phân lô, pháp lý rõ ràng, sẵn sàng giao dịch
- giá thương lượng: 3,99 tỷ
Liên hệ- MR MẠNH MẶT NGÕ 0367549898- MUA BÁN KI GỬI NHÀ ĐẤT HÀ NỘI"
2023-06-01 16:08:02,"Bán nhà TTN5, Quận 12, 60m, Chỉ nhỉnh 3,5 tỷ.",Nhà riêng,4.0,60,Quận 12,TP Hồ Chí Minh,2,2,,,"Bán nhà TTN5, Quận 12, 60m, xe tải, giá chỉ 3,8 tỷ.
+ Diện tích 60m, ngang 4x15m, sổ đỏ chính chủ.
+nhà 2 tầng ,2 phòng ,2 wc.
+ Nhà thuộc khu trung tâm Quận 12, giáp Hóc Môn, cách hơn 50m ra PHAN VĂN HỚN  
+ Hẻm xe Hơi i đỗ cửa, khu vực dân trí cao, an ninh tốt.
+ Giá chào 3,8tỷ (trước khách trả 4,3tỷ nhưng không bán, giờ cần bán gấp và có thương lượng cho khách thiện trí)
Cam kết, dẫn khách đi xem nhà, tư vấn hỗ trợ khách mua được nhà mà không phải trả bất kỳ 1 khoản phí nào.
Với kho hàng nhà phố Hồ Chí Minh gần 20.000 phân khúc đa dạng, phong phú, được chủ nhà tin tưởng gửi bán, chúng tôi sẽ đáp ứng mọi nhu cầu của quý khách.

Giúp khách hàng mua được nhà ưng ý là hạnh phúc và trách nhiệm của Tôi.

Liên hệ TUYÊT SƯƠNG 0966764836."
2023-06-01 16:09:22,"Nhà 3 tầng đầu đường Ni Sư Huỳnh Liên, thông Bàu Cát. 2.85 tỷ",Nhà riêng,2.85,27,Tân Bình,TP Hồ Chí Minh,2,2,,,"Nhà gia đình xây ở, đúc kiên cố chắc chắn 1 trệt 2 lầu đầy đủ công năng, cách mặt tiền chỉ 1 căn, nhà gồm 2 phòng ngủ. Vị trí thông đường Hồng Lạc, cạnh Vinmart Bàu Cát. Tiện ích: chợ, siêu thị, trường học,.. Sổ hồng riêng, pháp lý chuẩn. Liên hệ anh Võ: 0909 100 817. Không tiếp trung gian."
2023-06-01 16:18:33,NHÀ ĐẸP GẦN PHỐ CẦU GIẤY - TRUNG TÂM QUẬN CẦU GIẤY- Ở SIÊU VIP: 45 M2 6.5 TỶ,Nhà riêng,6.5,45,Cầu Giấy,Hà Nội,,,,,"NHÀ ĐẸP GẦN PHỐ CẦU GIẤY,  THÔNG VÒNG QUANH - 2 THOÁNG TRƯỚC SAU - NHÀ MỚI KEENG - TRUNG TẬM QUẬN CẦU GIẤY- Ở SIÊU VIP: 45 M2 6.5 TỶ 
???? Vị trí nhà mình cực thoáng 2 mặt thoáng trước sau vĩnh viễn, khu vực trung tâm quận Cầu giấy, tương lai sát mặt Phố lớn Nguyễn Văn Huyên, gần Công viên Cầu Giấy, giao thông thuận tiện đi được từ mọi hướng. 
????Nhà 45 m2 5T Tầng 1: Phòng khách, Bếp, Vệ sinh. 
=> Tầng 2, 3, 4: Mỗi tầng 2 phòng rộng, Vệ sinh giữa.
=> Tầng 5: Phòng thờ, sân phơi, tiểu cảnh.
- ???? Sổ đỏ đẹp, cất két sẵn sàng giao dịch."
2023-06-01 16:24:19,"Bán nhà TTN5, Quận 12, 72m, xe tải, giá chỉ 5 TỶ.",Nhà riêng,5.0,60,Quận 12,TP Hồ Chí Minh,2,2,,,"Bán nhà TTN5 Quận 12, 78m, xe tải, giá chỉ Nhỉnh 5tỷ.
+ Diện tích 72m, ngang4x18 sổ đỏ chính chủ.
+Nhà 2 tầng ,2 phòng ,2wc.
+ Hẻm xe tải đỗ cửa, khu vực dân trí cao, an ninh tốt.
+ Giá chào 5,2 tỷ (trước khách trả 5,8 tỷ nhưng không bán, giờ cần bán gấp và có thương lượng cho khách thiện trí)
Cam kết, dẫn khách đi xem nhà, tư vấn hỗ trợ khách mua được nhà mà không phải trả bất kỳ 1 khoản phí nào.
Với kho hàng nhà phố Hồ Chí Minh gần 20.000 phân khúc đa dạng, phong phú, được chủ nhà tin tưởng gửi bán, chúng tôi sẽ đáp ứng mọi nhu cầu của quý khách.
Giúp khách hàng mua được nhà ưng ý là hạnh phúc và trách nhiệm của Tôi.

Liên hệ TUYẾT SƯƠNG 0966764836"
